Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences	Species_clean	assem	all	pga	pga_like	pag	assembly	PGA_all_CN	PGA_CN_primary	PGA_like_CN_primary	PAG_CN_primary	Scientific	Diet_Class	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Scientific_clean	BodyMass-Value	plant_total_pct	animal_total_pct	plant_total_prop	plant_structural_prop	log10_body_mass	PGA_all_log1p	PGA_log1p	PGA_like_log1p	PAG_log1p	Diet_Group	tip_label
Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	Bos taurus	cattle	domestic cow,bovine,Bos bovis,cow,dairy cow,domestic cattle,ox,Bovidae sp. Adi Nefas,Bos primigenius taurus	9913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	HLbosTau10	GCF_002263795.3	NCBI	ARS-UCD2.0	Chromosome	2023-07-01	USDA ARS	26402946	103308737	14894	299	3	Bos taurus	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	53	1	0	52	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	53	1	0	52	Bos taurus	Herbivore	0	0	0	0	0	0	0	0	0	100	Bos taurus	900000.0	100	0	1.0	1.0	5.954242509439325	3.988984046564274	0.6931471805599453	0.0	3.9702919135521215	Plant_dominant	Bos_taurus
Bos_taurus__cattle__bosTau9__GCF_002263795.1	Bos taurus	cattle	dairy cow,Bos bovis,domestic cow,cow,Bos primigenius taurus,bovine,Bovidae sp. Adi Nefas,domestic cattle	9913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	bosTau9	GCF_002263795.1	NCBI	ARS-UCD1.2	Chromosome	2018-04-11	USDA ARS	25896116	103308737	14904	289	3	Bos taurus	Bos_taurus__cattle__bosTau9__GCF_002263795.1	53	1	0	52	Bos_taurus__cattle__bosTau9__GCF_002263795.1	53	1	0	52	Bos taurus	Herbivore	0	0	0	0	0	0	0	0	0	100	Bos taurus	900000.0	100	0	1.0	1.0	5.954242509439325	3.988984046564274	0.6931471805599453	0.0	3.9702919135521215	Plant_dominant	Bos_taurus
Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	Callithrix jacchus	White-tufted-ear marmoset	white ear-tufted marmoset,Simia jacchus,common marmoset,Callithrix jacchus jacchus	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJacc6	GCA_049354715.1	NCBI	calJac240_pri	Chromosome	2025-04-08	University of California Santa Cruz	137132494	141933726	15062	126	8	Callithrix jacchus	Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	2	1	1	0	Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	2	1	1	0	Callithrix jacchus	Omnivore	20	0	0	0	10	0	30	40	0	0	Callithrix jacchus	292.0	70	30	0.7	0.0	2.4653828514484184	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Callithrix_jacchus
Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus jacchus,common marmoset,white ear-tufted marmoset	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	calJac4	GCF_009663435.1	NCBI	Callithrix_jacchus_cj1700_1.1	Chromosome	2020-05-22	McDonnell Genome Institute at Washington University	25227091	98198953	15007	168	21	Callithrix jacchus	Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	2	1	1	0	Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	2	1	1	0	Callithrix jacchus	Omnivore	20	0	0	0	10	0	30	40	0	0	Callithrix jacchus	292.0	70	30	0.7	0.0	2.4653828514484184	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Callithrix_jacchus
Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus jacchus,common marmoset,white ear-tufted marmoset,Simia jacchus	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJac5	GCF_011100555.1	NCBI	mCalJa1.2.pat.X	Chromosome	2021-04-28	Vertebrate Genomes Project	13222669	136971485	14859	315	22	Callithrix jacchus	Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	2	1	1	0	Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	2	1	1	0	Callithrix jacchus	Omnivore	20	0	0	0	10	0	30	40	0	0	Callithrix jacchus	292.0	70	30	0.7	0.0	2.4653828514484184	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Callithrix_jacchus
Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1	Camelus dromedarius	Arabian camel	dromedary,dromedary camel,dromedaries,one-humped camel,camel	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamDro3A	GCF_036321535.1	NCBI	mCamDro1.pat	Chromosome	2024-01-31	Vertebrate Genomes Project	31216184	72991593	14827	299	70	Camelus dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1	2	1	0	1	Camelus_dromedarius__Arabian_camel__HLcamDro3A__GCF_036321535.1	2	1	0	1	Camelus dromedarius	Herbivore	0	0	0	0	0	0	0	0	0	100	Camelus dromedarius	601000.0	100	0	1.0	1.0	5.778874472002739	1.0986122886681096	0.6931471805599453	0.0	0.6931471805599453	Plant_dominant	Camelus_dromedarius
Camelus_dromedarius__Arabian_camel__HLcamDro3B__GCA_036321565.1	Camelus dromedarius	Arabian camel	one-humped camel,dromedaries,dromedary camel,camel,dromedary	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamDro3B	GCA_036321565.1	NCBI	mCamDro1.hap2	Chromosome	2024-01-31	Vertebrate Genomes Project	28900355	70331411	14102	492	602	Camelus dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro3B__GCA_036321565.1	2	1	0	1	Camelus_dromedarius__Arabian_camel__HLcamDro3B__GCA_036321565.1	2	1	0	1	Camelus dromedarius	Herbivore	0	0	0	0	0	0	0	0	0	100	Camelus dromedarius	601000.0	100	0	1.0	1.0	5.778874472002739	1.0986122886681096	0.6931471805599453	0.0	0.6931471805599453	Plant_dominant	Camelus_dromedarius
Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3	Camelus dromedarius	Arabian camel	dromedary camel,one-humped camel,camel,dromedaries,dromedary	9838	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Camelus	HLcamDro2	GCA_000803125.3	NCBI	CamDro3	Chromosome	2019-10-07	Vetmeduni Vienna	236391	70369702	13756	1414	26	Camelus dromedarius	Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3	2	1	0	1	Camelus_dromedarius__Arabian_camel__HLcamDro2__GCA_000803125.3	2	1	0	1	Camelus dromedarius	Herbivore	0	0	0	0	0	0	0	0	0	100	Camelus dromedarius	601000.0	100	0	1.0	1.0	5.778874472002739	1.0986122886681096	0.6931471805599453	0.0	0.6931471805599453	Plant_dominant	Camelus_dromedarius
Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	Capra hircus	Goat	Capra aegagrus hircus,African dwarf goats,Naine d'Afrique de l'Ouest,African dwarf goat,domestic goat,goats	9925	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapHirc3	GCA_041735815.1	NCBI	T2T-goat2.0	Complete Genome	2024-09-04	China Agricultural University	100793790	100793790	15057	135	4	Capra hircus	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	80	1	0	79	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	80	1	0	79	Capra hircus	Herbivore	0	0	0	0	0	0	0	0	0	100	Capra hircus	54250.0	100	0	1.0	1.0	4.7343997425205675	4.394449154672438	0.6931471805599453	0.0	4.382026634673881	Plant_dominant	Capra_hircus
Capra_hircus__goat__HLcapHir2__GCA_001704415.1	Capra hircus	goat	goats,Naine d'Afrique de l'Ouest,African dwarf goats,African dwarf goat,Capra aegagrus hircus,domestic goat	9925	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	HLcapHir2	GCA_001704415.1	NCBI	ARS1	Chromosome	2016-08-24	USDA ARS	26244591	87277232	14809	352	35	Capra hircus	Capra_hircus__goat__HLcapHir2__GCA_001704415.1	73	1	0	72	Capra_hircus__goat__HLcapHir2__GCA_001704415.1	73	1	0	72	Capra hircus	Herbivore	0	0	0	0	0	0	0	0	0	100	Capra hircus	54250.0	100	0	1.0	1.0	4.7343997425205675	4.304065093204169	0.6931471805599453	0.0	4.290459441148391	Plant_dominant	Capra_hircus
Castor_canadensis__American_beaver__HLcasCana5__GCA_001984765.2	Castor canadensis	American beaver		51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	HLcasCana5	GCA_001984765.2	NCBI	ASM198476v2	Chromosome	2026-01-29	Hospital for Sick Children	144908913	158004004	15030	161	5	Castor canadensis	Castor_canadensis__American_beaver__HLcasCana5__GCA_001984765.2	1	0	1	0	Castor_canadensis__American_beaver__HLcasCana5__GCA_001984765.2	1	0	1	0	Castor canadensis	Herbivore	0	0	0	0	0	0	0	0	0	100	Castor canadensis	21820.0	100	0	1.0	1.0	4.3388547462523235	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Castor_canadensis
Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2	Castor canadensis	American beaver		51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	HLcasCana4A	GCA_047511655.2	NCBI	mCasCan1.hap1v2	Chromosome	2025-02-10	Vertebrate Genomes Project	59379167	158968201	15015	169	12	Castor canadensis	Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2	1	0	1	0	Castor_canadensis__American_beaver__HLcasCana4A__GCA_047511655.2	1	0	1	0	Castor canadensis	Herbivore	0	0	0	0	0	0	0	0	0	100	Castor canadensis	21820.0	100	0	1.0	1.0	4.3388547462523235	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Castor_canadensis
Castor_canadensis__American_beaver__HLcasCan3	Castor canadensis	American beaver		51338	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Castoridae; Castor	HLcasCan3	DNA Zoo Consortium	DNA Zoo Consortium			2020-07-09		266367	136673807	12506	2192	498	Castor canadensis	Castor_canadensis__American_beaver__HLcasCan3	1	0	1	0	Castor_canadensis__American_beaver__HLcasCan3	1	0	1	0	Castor canadensis	Herbivore	0	0	0	0	0	0	0	0	0	100	Castor canadensis	21820.0	100	0	1.0	1.0	4.3388547462523235	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Castor_canadensis
Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1	Colobus guereza	Mantled guereza	Colobus abyssinicus,guereza,eastern black-and -white colobus	33548	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus	HLcolGuer2	GCA_030247045.1	NCBI	ASM3024704v1	Chromosome	2023-06-12	BGI-Shenzhen	15612012	149281349	13335	1739	122	Colobus guereza	Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1	4	3	1	0	Colobus_guereza__Mantled_guereza__HLcolGuer2__GCA_030247045.1	4	3	1	0	Colobus guereza	Herbivore	0	0	0	0	0	0	30	0	0	70	Colobus guereza	10600.0	100	0	1.0	0.7	4.02530586526477	1.6094379124341003	1.3862943611198906	0.6931471805599453	0.0	Plant_dominant	Colobus_guereza
Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1	Colobus guereza	mantled guereza	eastern black-and -white colobus,guereza,Colobus abyssinicus	33548	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus	HLcolGue1	GCA_021498455.1	NCBI	ASM2149845v1	Chromosome	2022-01-19	BGI-Shenzhen	15612012	145964134	13339	1747	110	Colobus guereza	Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1	3	3	0	0	Colobus_guereza__mantled_guereza__HLcolGue1__GCA_021498455.1	3	3	0	0	Colobus guereza	Herbivore	0	0	0	0	0	0	30	0	0	70	Colobus guereza	10600.0	100	0	1.0	0.7	4.02530586526477	1.3862943611198906	1.3862943611198906	0.0	0.0	Plant_dominant	Colobus_guereza
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1	Corynorhinus townsendii	Townsends big-eared bat	Plecotus townsendii	124745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorTow1A	GCA_026230055.1	NCBI	mCorTow1.0.hap1	Scaffold	2022-11-18	UCLA	23382908	174690156	14802	371	23	Corynorhinus townsendii	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1	7	1	6	0	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1A__GCA_026230055.1	7	1	6	0	Corynorhinus townsendii	Insectivore	100	0	0	0	0	0	0	0	0	0	Corynorhinus townsendii	10.3	0	100	0.0	0.0	1.0128372247051722	2.0794415416798357	0.6931471805599453	1.9459101490553132	0.0	Animal_dominant	Corynorhinus_townsendii
Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1	Corynorhinus townsendii	Townsends big-eared bat	Plecotus townsendii	124745	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Corynorhinus	HLcorTow1B	GCA_026230045.1	NCBI	mCorTow1.0.hap2	Scaffold	2022-11-18	UCLA	22150609	177756282	14307	374	515	Corynorhinus townsendii	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1	12	1	11	0	Corynorhinus_townsendii__Townsends_big-eared_bat__HLcorTow1B__GCA_026230045.1	12	1	11	0	Corynorhinus townsendii	Insectivore	100	0	0	0	0	0	0	0	0	0	Corynorhinus townsendii	10.3	0	100	0.0	0.0	1.0128372247051722	2.5649493574615367	0.6931471805599453	2.4849066497880004	0.0	Animal_dominant	Corynorhinus_townsendii
Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1	Dasypus novemcinctus	nine-banded armadillo		9361	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus	HLdasNov4	GCF_030445035.1	NCBI	mDasNov1.hap2	Chromosome	2023-07-13	Vertebrate Genomes Project	14295626	130056132	14742	405	49	Dasypus novemcinctus	Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1	8	1	7	0	Dasypus_novemcinctus__nine-banded_armadillo__HLdasNov4__GCF_030445035.1	8	1	7	0	Dasypus novemcinctus	Insectivore	100	0	0	0	0	0	0	0	0	0	Dasypus novemcinctus	4203.78	0	100	0.0	0.0	3.6236399796478107	2.197224577336219	0.6931471805599453	2.0794415416798357	0.0	Animal_dominant	Dasypus_novemcinctus
Dasypus_novemcinctus__Nine-banded_armadillo__HLdasNove5A__GCF_030445035.2	Dasypus novemcinctus	Nine-banded armadillo	Dasypus fenestratus	9361	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Dasypodidae; Dasypus	HLdasNove5A	GCF_030445035.2	NCBI	mDasNov1.1.hap2	Chromosome	2023-07-13	Vertebrate Genomes Project	13963394	127081865	14743	403	50	Dasypus novemcinctus	Dasypus_novemcinctus__Nine-banded_armadillo__HLdasNove5A__GCF_030445035.2	9	1	8	0	Dasypus_novemcinctus__Nine-banded_armadillo__HLdasNove5A__GCF_030445035.2	9	1	8	0	Dasypus novemcinctus	Insectivore	100	0	0	0	0	0	0	0	0	0	Dasypus novemcinctus	4203.78	0	100	0.0	0.0	3.6236399796478107	2.3025850929940455	0.6931471805599453	2.197224577336219	0.0	Animal_dominant	Dasypus_novemcinctus
