ref_prefix	chrom	start	end	strand	blockCount	raw_name	source_transcript_id	gene_label	source_name	target_status	canonical_interval
HLbosTau10	NC_037356	38785386	38786446	-	2	ENSBTAT00000100327#ENSBTAG00000048968	HLbosTau10.ENSBTAT00000100327	ENSBTAG00000048968	HLbosTau10.ENSBTAT00000100327#ENSBTAG00000048968	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38854877	38864063	-	9	NM_001105381#MGC157408	HLbosTau10.NM_001105381	MGC157408	HLbosTau10.NM_001105381#MGC157408	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38854880	38864063	-	9	ENSBTAT00000007506#MGC157408	HLbosTau10.ENSBTAT00000007506	MGC157408	HLbosTau10.ENSBTAT00000007506#MGC157408	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38929010	38936278	-	9	ENSBTAT00000017669#ENSBTAG00000035736	HLbosTau10.ENSBTAT00000017669	ENSBTAG00000035736	HLbosTau10.ENSBTAT00000017669#ENSBTAG00000035736	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	38929010	38937414	-	10	ENSBTAT00000027020#ENSBTAG00000035736	HLbosTau10.ENSBTAT00000027020	ENSBTAG00000035736	HLbosTau10.ENSBTAT00000027020#ENSBTAG00000035736	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39017996	39027018	-	9	ENSBTAT00000025601#ENSBTAG00000026016	HLbosTau10.ENSBTAT00000025601	ENSBTAG00000026016	HLbosTau10.ENSBTAT00000025601#ENSBTAG00000026016	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39095431	39102675	-	6	XM_024987413#ENSBTAG00000046686	HLbosTau10.XM_024987413	ENSBTAG00000046686	HLbosTau10.XM_024987413#ENSBTAG00000046686	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39098026	39101023	-	5	ENSBTAT00000063468#ENSBTAG00000046686	HLbosTau10.ENSBTAT00000063468	ENSBTAG00000046686	HLbosTau10.ENSBTAT00000063468#ENSBTAG00000046686	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39124144	39133288	-	9	NM_001083697#MGC157405	HLbosTau10.NM_001083697	MGC157405	HLbosTau10.NM_001083697#MGC157405	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39124147	39133288	-	9	ENSBTAT00000052386#MGC157405	HLbosTau10.ENSBTAT00000052386	MGC157405	HLbosTau10.ENSBTAT00000052386#MGC157405	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39176959	39182890	-	9	ENSBTAT00000009701#ENSBTAG00000038506	HLbosTau10.ENSBTAT00000009701	ENSBTAG00000038506	HLbosTau10.ENSBTAT00000009701#ENSBTAG00000038506	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39237418	39246444	-	9	ENSBTAT00000050648#PAG9	HLbosTau10.ENSBTAT00000050648	PAG9	HLbosTau10.ENSBTAT00000050648#PAG9	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39307573	39316598	-	9	ENSBTAT00000030243#PAG3	HLbosTau10.ENSBTAT00000030243	PAG3	HLbosTau10.ENSBTAT00000030243#PAG3	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39377379	39386740	-	9	ENSBTAT00000038878#PAG6	HLbosTau10.ENSBTAT00000038878	PAG6	HLbosTau10.ENSBTAT00000038878#PAG6	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39438823	39456487	-	9	ENSBTAT00000005399#PAG11	HLbosTau10.ENSBTAT00000005399	PAG11	HLbosTau10.ENSBTAT00000005399#PAG11	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39521789	39523104	-	2	ENSBTAT00000044622#ENSBTAG00000031483	HLbosTau10.ENSBTAT00000044622	ENSBTAG00000031483	HLbosTau10.ENSBTAT00000044622#ENSBTAG00000031483	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39529680	39538876	-	9	XM_002699308#ENSBTAG00000013214	HLbosTau10.XM_002699308	ENSBTAG00000013214	HLbosTau10.XM_002699308#ENSBTAG00000013214	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39529997	39538558	-	9	ENSBTAT00000017585#ENSBTAG00000013214	HLbosTau10.ENSBTAT00000017585	ENSBTAG00000013214	HLbosTau10.ENSBTAT00000017585#ENSBTAG00000013214	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39575561	39582776	-	2	XM_002699278#LOC100296410	HLbosTau10.XM_002699278	LOC100296410	HLbosTau10.XM_002699278#LOC100296410	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39605620	39611287	-	3	ENSBTAT00000081118#ENSBTAG00000048649	HLbosTau10.ENSBTAT00000081118	ENSBTAG00000048649	HLbosTau10.ENSBTAT00000081118#ENSBTAG00000048649	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39619798	39627873	+	9	ENSBTAT00000018996#ENSBTAG00000040257	HLbosTau10.ENSBTAT00000018996	ENSBTAG00000040257	HLbosTau10.ENSBTAT00000018996#ENSBTAG00000040257	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39644585	39673900	+	10	ENSBTAT00000079331#ENSBTAG00000051501	HLbosTau10.ENSBTAT00000079331	ENSBTAG00000051501	HLbosTau10.ENSBTAT00000079331#ENSBTAG00000051501	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39664238	39673779	+	9	XM_002707800#ENSBTAG00000051501	HLbosTau10.XM_002707800	ENSBTAG00000051501	HLbosTau10.XM_002707800#ENSBTAG00000051501	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39691964	39701177	+	8	XM_002699310#LOC524173	HLbosTau10.XM_002699310	LOC524173	HLbosTau10.XM_002699310#LOC524173	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39726285	39736545	+	9	ENSBTAT00000025597#PAG8	HLbosTau10.ENSBTAT00000025597	PAG8	HLbosTau10.ENSBTAT00000025597#PAG8	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39726285	39736548	+	9	NM_176619#PAG8	HLbosTau10.NM_176619	PAG8	HLbosTau10.NM_176619#PAG8	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39760935	39771367	+	9	ENSBTAT00000019640#PGA5	HLbosTau10.ENSBTAT00000019640	PGA5	HLbosTau10.ENSBTAT00000019640#PGA5	candidate_interval_gene	NC_037356:37451493-39810386
HLbosTau10	NC_037356	39760935	39771371	+	9	NM_001001600#PGA5	HLbosTau10.NM_001001600	PGA5	HLbosTau10.NM_001001600#PGA5	candidate_interval_gene	NC_037356:37451493-39810386
HLeleMaxInd3A	NC_064825	124302332	124315080	+	9	XM_049891846.1#LOC126080666	HLeleMaxInd3A.XM_049891846.1	LOC126080666	HLeleMaxInd3A.XM_049891846.1#LOC126080666	candidate_interval_gene	NC_064825:124246147-124392989
HLeleMaxInd3A	NC_064825	124335549	124346462	+	9	XM_049889753.1#LOC126078931	HLeleMaxInd3A.XM_049889753.1	LOC126078931	HLeleMaxInd3A.XM_049889753.1#LOC126078931	candidate_interval_gene	NC_064825:124246147-124392989
mm10	chr19	10668955	10678071	-	9	ENSMUST00000025647#Pga5	mm10.ENSMUST00000025647	Pga5	mm10.ENSMUST00000025647#Pga5	candidate_interval_gene	chr19:10634232-10714628
