Species_clean	tip_label	Directory Name	assembly	assem	Assembly name	NCBI accession	Taxonomic Lineage	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with missing sequences	PGA_all_CN	PGA_all_log1p	PGA_CN_primary	PGA_log1p	PGA_like_CN_primary	PGA_like_log1p	PAG_CN_primary	PAG_log1p	all	pga	pga_like	pag	Diet_Class	Diet_Group	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	plant_total_pct	plant_total_prop	plant_structural_prop	animal_total_pct	BodyMass-Value	log10_body_mass	Species	Common name	Other species names	Species Taxonomy ID	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	No. ancestral genes with inactivating mutations	Scientific	Scientific_clean	High_Order_Diet	Use_High_Order_Diet	plant_dominant_pct	carnivore_pct	insectivore_pct	nectarivore_pct	plant_dominant_prop	carnivore_prop	insectivore_prop	nectarivore_prop	diet_total_pct	CNV_source_col	CNV	CNV_log1p
Macroderma gigas	Macroderma_gigas	Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1	Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1	Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1	HLmacGiga1	GCA_055471755.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Macroderma	37658598	100011104	14761	23	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Carnivore	Animal_dominant	20	70	10	0	0	0	0	0	0	0	0	0	0	100	126.43	2.10185013793813	Macroderma gigas	Australian ghost bat	Megaderma gigas,Australian giant false vampire,Australian false vampire bat	9411	NCBI	mMacGig1.2_20250303	Scaffold	2026-02-24	The University of Sydney	412	Macroderma gigas	Macroderma gigas	Carnivore	TRUE	0	80	20	0	0	0.8	0.2	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus hipposideros	Rhinolophus_hipposideros	Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1	Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1	Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1	HLrhiHip1A	GCA_964194185.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	2014157	88364482	14891	69	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	4.71	0.673020907128896	Rhinolophus hipposideros	Lesser horseshoe bat	Vespertilio hipposideros	77218	NCBI	mRhiHip2.hap1.1	Chromosome	2024-06-28	WELLCOME SANGER INSTITUTE	236	Rhinolophus hipposideros	Rhinolophus hipposideros	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus sinicus	Rhinolophus_sinicus	Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1	Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1	Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1	HLrhiSin4	GCA_036562045.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	42906106	166556632	14546	260	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	80	0	0	0	0	0	0	0	10	10	20	0.2	0.1	80	10.62	1.02612451674545	Rhinolophus sinicus	Chinese rufous horseshoe bat	Rhinolophus rouxii sinicus	89399	NCBI	ASM3656204v1	Chromosome	2024-06-26	Kunming Institute of Zoology, Chinese Academy of Sciences	390	Rhinolophus sinicus	Rhinolophus sinicus	Insectivore	TRUE	20	0	80	0	0.2	0	0.8	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus rex	Rhinolophus_rex	Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1	Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1	Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1	HLrhiRex1	GCA_041825415.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	75261663	94173463	15001	8	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	10.4	1.01703333929878	Rhinolophus rex	king horseshoe bat		188572	NCBI	ASM4182541v1	Chromosome	2024-09-09	East China Normal University	187	Rhinolophus rex	Rhinolophus rex	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus affinis	Rhinolophus_affinis	Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1	Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1	Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1	HLrhiAff2	GCA_043728065.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	65534120	85365043	15011	6	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	13.63	1.13449585583467	Rhinolophus affinis	intermediate horseshoe bat		59477	NCBI, Bat1K			2021-10-03		179	Rhinolophus affinis	Rhinolophus affinis	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus trifoliatus	Rhinolophus_trifoliatus	Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1	Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1	Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1	HLrhiTri2	GCA_043728145.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	11115074	184920896	14784	31	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	14.53	1.16226561429802	Rhinolophus trifoliatus	Trefoil horseshoe bat		430492	NCBI, Bat1K			2021-10-03		381	Rhinolophus trifoliatus	Rhinolophus trifoliatus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus clivosus	Rhinolophus_clivosus	Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1	Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1	Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1	HLrhiCliv1A	GCA_054645015.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	68120538	93247554	15006	8	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	15.66	1.19479175772192	Rhinolophus clivosus	Geoffroys horseshoe bat		59478	NCBI	mRhiCli1.hap1	Chromosome	2026-01-22	Bat1K Project	182	Rhinolophus clivosus	Rhinolophus clivosus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Rhinolophus ferrumequinum	Rhinolophus_ferrumequinum	Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1	Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1	Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1	HLrhiFer6	GCF_004115265.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus	31900497	88025743	14649	20	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	21.06	1.32345836684947	Rhinolophus ferrumequinum	greater horseshoe bat		59479	NCBI	mRhiFer1_v1.p	Chromosome	2019-05-16	Vertebrate Genomes Project	527	Rhinolophus ferrumequinum	Rhinolophus ferrumequinum	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Aselliscus stoliczkanus	Aselliscus_stoliczkanus	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	HLaseSto4	GCA_033961575.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus	73009000	162004500	14914	11	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	4.9	0.690196080028514	Aselliscus stoliczkanus	Stoliczkas trident bat	Stoliczka's Asian trident bat,Asellia stoliczkana	188568	NCBI	ASM3396157v1	Chromosome	2023-11-28	East China Normal University	271	Aselliscus stoliczkanus	Aselliscus stoliczkanus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Hipposideros larvatus	Hipposideros_larvatus	Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1	Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1	Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1	HLhipLar2	GCA_043727955.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros; Hipposideros larvatus sensu lato	19276934	176501180	15001	11	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	19.85	1.29776051109913	Hipposideros larvatus	Intermediate roundleaf bat		175524	NCBI, Bat1K			2021-10-06		184	Hipposideros larvatus	Hipposideros larvatus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Pteropus alecto	Pteropus_alecto	Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1	Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1	Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1	pteAle1	GCF_000325575.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus	31841	15954802	13417	497	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Frugivore	Plant_dominant	0	0	0	0	0	0	100	0	0	0	100	1	0	0	643.57	2.80859579127205	Pteropus alecto	black flying fox		9402	NCBI	ASM32557v1	Scaffold	2013-12-04	BGI	1282	Pteropus alecto	Pteropus alecto	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Pteropus pselaphon	Pteropus_pselaphon	Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1	Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1	Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1	HLptePse1	GCA_014363405.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus	394964	770409	14749	132	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Frugivore	Plant_dominant	0	0	0	0	0	0	100	0	0	0	100	1	0	0	282.86	2.45157153703807	Pteropus pselaphon	Bonin flying fox		1496133	NCBI	P_pselaphon_scaffold_01	Scaffold	2020-08-23	Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies	315	Pteropus pselaphon	Pteropus pselaphon	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Rousettus leschenaultii	Rousettus_leschenaultii	Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1	Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1	Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1	HLrouLesc2A	GCA_053538355.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus	86068516	116991804	14912	9	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Omnivore	Omnivore	0	0	0	0	0	0	60	40	0	0	100	1	0	0	84.88	1.92880537089328	Rousettus leschenaultii	Leschenaults rousette	Pteropus leschenaultii, 1820),Rousettus leschenaultii (Desmarest	9408	NCBI	ASM5353835v1	Chromosome	2025-11-18	SOUTHERN MARINE SCIENCE AND ENGINEERING GUANGDONG LABORATORY (GUANGZHOU)	275	Rousettus leschenaultii	Rousettus leschenaultii	Omnivore	TRUE	60	0	0	40	0.6	0	0	0.4	100	PGA_CN_primary	1	0.693147180559945
Rousettus aegyptiacus	Rousettus_aegyptiacus	Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1	Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1	Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1	HLrouAeg4	GCA_014176215.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus	21756723	113811795	14892	19	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Omnivore	Omnivore	0	0	0	0	0	0	60	40	0	0	100	1	0	0	132.24	2.12136284056339	Rousettus aegyptiacus	Egyptian rousette	Rousettus egyptiacus,Rousettus aegypticus	9407	NCBI, Bat1K			2019-10-14		285	Rousettus aegyptiacus	Rousettus aegyptiacus	Omnivore	TRUE	60	0	0	40	0.6	0	0	0.4	100	PGA_CN_primary	1	0.693147180559945
Cynopterus sphinx	Cynopterus_sphinx	Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1	Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1	Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1	HLcynSph1	GCA_030015415.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Cynopterinae; Cynopterus	84235024	145152962	14850	16	2	1.09861228866811	1	0.693147180559945	1	0.693147180559945	0	0	2	1	1	0	Frugivore	Plant_dominant	0	0	0	0	0	0	100	0	0	0	100	1	0	0	43.66	1.64008373137312	Cynopterus sphinx	Indian short-nosed fruit bat	greater short-nosed fruit bat,Vespertilio sphinx	9400	NCBI	ASM3001541v1	Chromosome	2023-05-16	Wuhan University	330	Cynopterus sphinx	Cynopterus sphinx	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
