id	header	gene	species	cluster_best	cluster_at_ngenes
hg38.ENST00000312403.10_PGA5_4732_Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	hg38.ENST00000312403.10#PGA5#4732#Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	PGA5	Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	54	38
mm10.ENSMUST00000025647_Pga5_79_Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	mm10.ENSMUST00000025647#Pga5#79#Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	Pga5	Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	28	19
mm10.ENSMUST00000025647_Pga5_80_Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	mm10.ENSMUST00000025647#Pga5#80#Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	Pga5	Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	28	19
hg38.ENST00000312403.10_PGA5_70_Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	hg38.ENST00000312403.10#PGA5#70#Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	PGA5	Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	28	19
mm10.ENSMUST00000025647_Pga5_57_Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	mm10.ENSMUST00000025647#Pga5#57#Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	Pga5	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	18	11
hg38.ENST00000312403.10_PGA5_4778_Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	hg38.ENST00000312403.10#PGA5#4778#Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	PGA5	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	52	37
HLbosTau10.ENSBTAT00000013786_PAG7_15874_Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	HLbosTau10.ENSBTAT00000013786#PAG7#15874#Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	PAG7	Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	21	14
hg38.ENST00000325558.11_PGA3_15029_Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	hg38.ENST00000325558.11#PGA3#15029#Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	PGA3	Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	53	38
HLbosTau10.ENSBTAT00000005384_PAG10_1253_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000005384#PAG10#1253#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PAG10	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	19	12
HLbosTau10.ENSBTAT00000025517_PAG2_847_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025517#PAG2#847#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PAG2	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	19	12
HLbosTau10.ENSBTAT00000025597_PAG8_1750_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025597#PAG8#1750#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PAG8	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	19	12
HLbosTau10.ENSBTAT00000025593_PAG5_343015_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025593#PAG5#343015#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PAG5	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	19	12
HLbosTau10.ENSBTAT00000005384_PAG10_347339_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000005384#PAG10#347339#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PAG10	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	19	12
hg38.ENST00000312403.10_PGA5_3077_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	hg38.ENST00000312403.10#PGA5#3077#Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA5	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	50	36
mm10.ENSMUST00000025647_Pga5_72_Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	mm10.ENSMUST00000025647#Pga5#72#Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	Pga5	Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	20	13
hg38.ENST00000312403.10_PGA5_3850_Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	hg38.ENST00000312403.10#PGA5#3850#Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	PGA5	Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	54	38
hg38.ENST00000312403.10_PGA5_25_Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	hg38.ENST00000312403.10#PGA5#25#Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	PGA5	Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	28	19
hg38.ENST00000325558.11_PGA3_66_Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	hg38.ENST00000325558.11#PGA3#66#Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	PGA3	Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	28	19
mm10.ENSMUST00000025647_Pga5_16_Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	mm10.ENSMUST00000025647#Pga5#16#Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	Pga5	Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	28	19
mm10.ENSMUST00000025647_Pga5_71_Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	mm10.ENSMUST00000025647#Pga5#71#Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	Pga5	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	20	13
hg38.ENST00000312403.10_PGA5_4970_Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	hg38.ENST00000312403.10#PGA5#4970#Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	PGA5	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	54	38
mm10.ENSMUST00000025647_Pga5_71_Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	mm10.ENSMUST00000025647#Pga5#71#Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	Pga5	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	20	13
hg38.ENST00000312403.10_PGA5_3226_Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	hg38.ENST00000312403.10#PGA5#3226#Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	PGA5	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	54	38
hg38.ENST00000325558.11_PGA3_380_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	hg38.ENST00000325558.11#PGA3#380#Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	PGA3	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	53	38
mm10.ENSMUST00000025647_Pga5_297_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	mm10.ENSMUST00000025647#Pga5#297#Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	Pga5	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	21	14
hg38.ENST00000325558.11_PGA3_81_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	hg38.ENST00000325558.11#PGA3#81#Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	PGA3	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	53	38
mm10.ENSMUST00000025647_Pga5_80_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	mm10.ENSMUST00000025647#Pga5#80#Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	Pga5	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	21	14
mm10.ENSMUST00000025647_Pga5_71_Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	mm10.ENSMUST00000025647#Pga5#71#Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	Pga5	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	21	14
hg38.ENST00000325558.11_PGA3_11_Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	hg38.ENST00000325558.11#PGA3#11#Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	PGA3	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	53	38
mm10.ENSMUST00000025647_Pga5_71_Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	mm10.ENSMUST00000025647#Pga5#71#Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	Pga5	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	21	14
hg38.ENST00000325558.11_PGA3_11_Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	hg38.ENST00000325558.11#PGA3#11#Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	PGA3	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	53	38
mm10.ENSMUST00000025647_Pga5_14_Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	mm10.ENSMUST00000025647#Pga5#14#Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	Pga5	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	28	19
mm10.ENSMUST00000025647_Pga5_14_Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	mm10.ENSMUST00000025647#Pga5#14#Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	Pga5	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	28	19
mm10.ENSMUST00000025647_Pga5_13_Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	mm10.ENSMUST00000025647#Pga5#13#Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	Pga5	Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	28	19
HLbosTau10.ENSBTAT00000030466_PAG18_45804_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	HLbosTau10.ENSBTAT00000030466#PAG18#45804#Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	PAG18	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	22	14
hg38.ENST00000312403.10_PGA5_4619_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	hg38.ENST00000312403.10#PGA5#4619#Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	PGA5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	53	38
mm10.ENSMUST00000025647_Pga5_73_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	mm10.ENSMUST00000025647#Pga5#73#Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	Pga5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	22	14
hg38.ENST00000312403.10_PGA5_2974_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	hg38.ENST00000312403.10#PGA5#2974#Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	PGA5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	53	38
hg38.ENST00000312403.10_PGA5_8168_Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	hg38.ENST00000312403.10#PGA5#8168#Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	PGA5	Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	58	38
hg38.ENST00000312403.10_PGA5_6842_Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	hg38.ENST00000312403.10#PGA5#6842#Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	PGA5	Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	58	38
hg38.ENST00000312403.10_PGA5_147444_Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	hg38.ENST00000312403.10#PGA5#147444#Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	PGA5	Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	58	38
hg38.ENST00000312403.10_PGA5_5390_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	hg38.ENST00000312403.10#PGA5#5390#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PGA5	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	56	38
HLbosTau10.NM_001109978_PAG7_74456_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_001109978#PAG7#74456#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	5	4
HLbosTau10.ENSBTAT00000025567_PAG12_84032_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025567#PAG12#84032#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG12	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	5	4
HLbosTau10.XM_002707800_ENSBTAG00000051501_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#31#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	5	4
HLbosTau10.ENSBTAT00000025517_PAG2_341718_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025517#PAG2#341718#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG2	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	8	4
HLbosTau10.ENSBTAT00000025517_PAG2_497178_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025517#PAG2#497178#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG2	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	8	4
HLbosTau10.ENSBTAT00000017585_ENSBTAG00000013214_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000017585#ENSBTAG00000013214#31#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000013214	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	9	4
HLbosTau10.ENSBTAT00000050648_PAG9_4853_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050648#PAG9#4853#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG9	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	7	4
HLbosTau10.ENSBTAT00000005399_PAG11_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005399#PAG11#31#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG11	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	7	4
HLbosTau10.ENSBTAT00000013786_PAG7_2574_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#2574#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.XM_024987413_ENSBTAG00000046686_566_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_024987413#ENSBTAG00000046686#566#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000046686	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000050664_PAG15_88421_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050664#PAG15#88421#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG15	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000007506_MGC157408_9916_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000007506#MGC157408#9916#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	MGC157408	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.XM_002707800_ENSBTAG00000051501_710_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#710#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.NM_001109978_PAG7_3931_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_001109978#PAG7#3931#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000013786_PAG7_317_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#317#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000025567_PAG12_240199_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025567#PAG12#240199#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG12	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000005384_PAG10_41421_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005384#PAG10#41421#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG10	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000030243_PAG3_672_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000030243#PAG3#672#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG3	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_224_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#224#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000051196	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000007506_MGC157408_224_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000007506#MGC157408#224#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	MGC157408	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.NM_176628_PAG19_57_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_176628#PAG19#57#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG19	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000050648_PAG9_198_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050648#PAG9#198#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG9	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000013786_PAG7_257619_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#257619#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.XM_002707800_ENSBTAG00000051501_66790_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#66790#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000030244_ENSBTAG00000050440_57_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000030244#ENSBTAG00000050440#57#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000050440	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.ENSBTAT00000052386_MGC157405_20656_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000052386#MGC157405#20656#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	MGC157405	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
HLbosTau10.XM_024987413_ENSBTAG00000046686_12188_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_024987413#ENSBTAG00000046686#12188#Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	ENSBTAG00000046686	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	2	2
