id	header	gene	species	cluster_best	cluster_at_ngenes
hg38.ENST00000312403.10_PGA5_4732_Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	hg38.ENST00000312403.10#PGA5#4732	PGA5	Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1	PGA	38
mm10.ENSMUST00000025647_Pga5_79_Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	mm10.ENSMUST00000025647#Pga5#79	Pga5	Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2	PGA-like	21
mm10.ENSMUST00000025647_Pga5_80_Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	mm10.ENSMUST00000025647#Pga5#80	Pga5	Alexandromys_fortis__reed_vole__HLmicFor1__GCA_014885135.1	PGA-like	21
hg38.ENST00000312403.10_PGA5_70_Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	hg38.ENST00000312403.10#PGA5#70	PGA5	Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_57_Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	mm10.ENSMUST00000025647#Pga5#57	Pga5	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	PGA-like	11
hg38.ENST00000312403.10_PGA5_4778_Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	hg38.ENST00000312403.10#PGA5#4778	PGA5	Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1	PGA	37
HLbosTau10.ENSBTAT00000013786_PAG7_15874_Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	HLbosTau10.ENSBTAT00000013786#PAG7#15874	PAG7	Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	PGA-like	17
hg38.ENST00000325558.11_PGA3_15029_Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	hg38.ENST00000325558.11#PGA3#15029	PGA3	Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1	PGA	38
HLbosTau10.ENSBTAT00000005384_PAG10_1253_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000005384#PAG10#1253	PAG10	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA-like	15
HLbosTau10.ENSBTAT00000025517_PAG2_847_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025517#PAG2#847	PAG2	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA-like	15
HLbosTau10.ENSBTAT00000025597_PAG8_1750_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025597#PAG8#1750	PAG8	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA-like	15
HLbosTau10.ENSBTAT00000025593_PAG5_343015_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000025593#PAG5#343015	PAG5	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA-like	15
HLbosTau10.ENSBTAT00000005384_PAG10_347339_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	HLbosTau10.ENSBTAT00000005384#PAG10#347339	PAG10	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA-like	15
hg38.ENST00000312403.10_PGA5_3077_Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	hg38.ENST00000312403.10#PGA5#3077	PGA5	Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1	PGA	35
mm10.ENSMUST00000025647_Pga5_72_Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	mm10.ENSMUST00000025647#Pga5#72	Pga5	Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	PGA-like	16
hg38.ENST00000312403.10_PGA5_3850_Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	hg38.ENST00000312403.10#PGA5#3850	PGA5	Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1	PGA	38
hg38.ENST00000312403.10_PGA5_25_Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	hg38.ENST00000312403.10#PGA5#25	PGA5	Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1	PGA-like	21
hg38.ENST00000325558.11_PGA3_66_Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	hg38.ENST00000325558.11#PGA3#66	PGA3	Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_16_Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	mm10.ENSMUST00000025647#Pga5#16	Pga5	Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_71_Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	mm10.ENSMUST00000025647#Pga5#71	Pga5	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	PGA-like	16
hg38.ENST00000312403.10_PGA5_4970_Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	hg38.ENST00000312403.10#PGA5#4970	PGA5	Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1	PGA	38
mm10.ENSMUST00000025647_Pga5_71_Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	mm10.ENSMUST00000025647#Pga5#71	Pga5	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	PGA-like	16
hg38.ENST00000312403.10_PGA5_3226_Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	hg38.ENST00000312403.10#PGA5#3226	PGA5	Arctocephalus_gazella__antarctic_fur_seal__HLarcGaz2__GCA_900642305.1	PGA	38
hg38.ENST00000325558.11_PGA3_380_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	hg38.ENST00000325558.11#PGA3#380	PGA3	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	PGA	38
mm10.ENSMUST00000025647_Pga5_297_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	mm10.ENSMUST00000025647#Pga5#297	Pga5	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1	PGA-like	17
hg38.ENST00000325558.11_PGA3_81_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	hg38.ENST00000325558.11#PGA3#81	PGA3	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	PGA	38
mm10.ENSMUST00000025647_Pga5_80_Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	mm10.ENSMUST00000025647#Pga5#80	Pga5	Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam3__GCA_021234435.1	PGA-like	17
mm10.ENSMUST00000025647_Pga5_71_Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	mm10.ENSMUST00000025647#Pga5#71	Pga5	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	PGA-like	17
hg38.ENST00000325558.11_PGA3_11_Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	hg38.ENST00000325558.11#PGA3#11	PGA3	Artibeus_lituratus__Great_fruit-eating_bat__HLartLit1A__GCA_038363095.2	PGA	38
mm10.ENSMUST00000025647_Pga5_71_Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	mm10.ENSMUST00000025647#Pga5#71	Pga5	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	PGA-like	17
hg38.ENST00000325558.11_PGA3_11_Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	hg38.ENST00000325558.11#PGA3#11	PGA3	Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2A__GCA_038363095.4	PGA	38
mm10.ENSMUST00000025647_Pga5_14_Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	mm10.ENSMUST00000025647#Pga5#14	Pga5	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1	PGA-like	21
mm10.ENSMUST00000025647_Pga5_14_Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	mm10.ENSMUST00000025647#Pga5#14	Pga5	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2	PGA-like	21
mm10.ENSMUST00000025647_Pga5_13_Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	mm10.ENSMUST00000025647#Pga5#13	Pga5	Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1	PGA-like	21
HLbosTau10.ENSBTAT00000030466_PAG18_45804_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	HLbosTau10.ENSBTAT00000030466#PAG18#45804	PAG18	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	PGA-like	18
hg38.ENST00000312403.10_PGA5_4619_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	hg38.ENST00000312403.10#PGA5#4619	PGA5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1	PGA	38
mm10.ENSMUST00000025647_Pga5_73_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	mm10.ENSMUST00000025647#Pga5#73	Pga5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	PGA-like	18
hg38.ENST00000312403.10_PGA5_2974_Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	hg38.ENST00000312403.10#PGA5#2974	PGA5	Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1	PGA	38
hg38.ENST00000312403.10_PGA5_8168_Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	hg38.ENST00000312403.10#PGA5#8168	PGA5	Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	PGA	38
hg38.ENST00000312403.10_PGA5_6842_Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	hg38.ENST00000312403.10#PGA5#6842	PGA5	Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	PGA	38
hg38.ENST00000312403.10_PGA5_147444_Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	hg38.ENST00000312403.10#PGA5#147444	PGA5	Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	PGA	38
hg38.ENST00000312403.10_PGA5_5390_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	hg38.ENST00000312403.10#PGA5#5390	PGA5	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PGA	38
HLbosTau10.NM_001109978_PAG7_74456_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_001109978#PAG7#74456	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000025567_PAG12_84032_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025567#PAG12#84032	PAG12	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.XM_002707800_ENSBTAG00000051501_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#31	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000025517_PAG2_341718_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025517#PAG2#341718	PAG2	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000025517_PAG2_497178_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025517#PAG2#497178	PAG2	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000017585_ENSBTAG00000013214_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000017585#ENSBTAG00000013214#31	ENSBTAG00000013214	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000050648_PAG9_4853_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050648#PAG9#4853	PAG9	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000005399_PAG11_31_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005399#PAG11#31	PAG11	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	4
HLbosTau10.ENSBTAT00000013786_PAG7_2574_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#2574	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.XM_024987413_ENSBTAG00000046686_566_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_024987413#ENSBTAG00000046686#566	ENSBTAG00000046686	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000050664_PAG15_88421_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050664#PAG15#88421	PAG15	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_9916_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000007506#MGC157408#9916	MGC157408	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.XM_002707800_ENSBTAG00000051501_710_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#710	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.NM_001109978_PAG7_3931_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_001109978#PAG7#3931	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_317_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#317	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_240199_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025567#PAG12#240199	PAG12	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_41421_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005384#PAG10#41421	PAG10	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000030243_PAG3_672_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000030243#PAG3#672	PAG3	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_224_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#224	ENSBTAG00000051196	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_224_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000007506#MGC157408#224	MGC157408	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.NM_176628_PAG19_57_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_176628#PAG19#57	PAG19	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000050648_PAG9_198_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050648#PAG9#198	PAG9	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_257619_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#257619	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.XM_002707800_ENSBTAG00000051501_66790_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#66790	ENSBTAG00000051501	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000030244_ENSBTAG00000050440_57_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000030244#ENSBTAG00000050440#57	ENSBTAG00000050440	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000052386_MGC157405_20656_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000052386#MGC157405#20656	MGC157405	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.XM_024987413_ENSBTAG00000046686_12188_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_024987413#ENSBTAG00000046686#12188	ENSBTAG00000046686	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.XM_002699310_LOC524173_1080_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.XM_002699310#LOC524173#1080	LOC524173	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_2328_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#2328	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000018996_ENSBTAG00000040257_58257_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000018996#ENSBTAG00000040257#58257	ENSBTAG00000040257	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.NM_001109978_PAG7_264860_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.NM_001109978#PAG7#264860	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_69_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#69	ENSBTAG00000051196	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_9881_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005384#PAG10#9881	PAG10	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_146_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#146	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_69_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#69	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000030244_ENSBTAG00000050440_72_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000030244#ENSBTAG00000050440#72	ENSBTAG00000050440	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000009701_ENSBTAG00000038506_9281_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000009701#ENSBTAG00000038506#9281	ENSBTAG00000038506	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_180_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#180	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_57_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#57	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_62_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#62	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_45932_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#45932	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000050664_PAG15_301_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000050664#PAG15#301	PAG15	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_12751_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000013786#PAG7#12751	PAG7	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_227887_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000005384#PAG10#227887	PAG10	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000018996_ENSBTAG00000040257_10790_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000018996#ENSBTAG00000040257#10790	ENSBTAG00000040257	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
HLbosTau10.ENSBTAT00000025597_PAG8_51805_Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLbosTau10.ENSBTAT00000025597#PAG8#51805	PAG8	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	PAG	2
